gender,worthChange,name,timestamp,industry,lastName,uri,imageUri,realTimeWorth,source,realTimePosition,squareImage,realTimeRank,country,age,title,headquarters,state,rank,worth,government,position,pay,managementAssets,salary
M,-2.732,Martua Sitorus,1531878901818,Manufacturing,Sitorus,martua-sitorus,http://i.forbesimg.com/media/lists/people/martua-sitorus_100x100.jpg,1346.823,palm oil,1721,//specials-images.forbesimg.com/imageserve/5834b29931358e698ada7d4b/416x416.jpg?background=000000&cropX1=50&cropX2=668&cropY1=53&cropY2=672,1721,Indonesia,58,,,,1376,1500.0,,1449,,,
M,0.0,Frank Stronach,1531878901818,Automotive,Stronach,frank-stronach,http://i.forbesimg.com/media/lists/people/frank-stronach_100x100.jpg,1510.0,auto parts,1565,//specials-images.forbesimg.com/imageserve/5a7ba8634bbe6f2652f4f2f0/416x416.jpg?background=000000&cropX1=484&cropX2=2866&cropY1=6&cropY2=2389,1565,Canada,85,"Founder, Magna International",,,1376,1500.0,0,1450,,,
M,0.0,Georg Stumpf,1531878901818,Diversified,Stumpf,georg-stumpf,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,2802.622,"real estate, construction",875,//specials-images.forbesimg.com/imageserve/5a7b735d31358e4955acdc5e/416x416.jpg?background=000000&cropX1=1326&cropX2=2260&cropY1=41&cropY2=975,875,Austria,45,,,,1376,1500.0,,1451,,,
M,,Tang Hsiang-chien,1518126032557,Manufacturing,Tang,tang-hsiang-chien,http://i.forbesimg.com/media/lists/people/tang-hsiang-chien_100x100.jpg,,"textiles, electronics",,//specials-images.forbesimg.com/imageserve/2c9342e6b6c03eec93a23ec68d9abad9/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=47&cropY2=791,,Hong Kong,95,,,,1376,1500.0,,1452,,,
M,,Sukanto Tanoto,1518126012503,Diversified,Tanoto,sukanto-tanoto,http://i.forbesimg.com/media/lists/people/sukanto-tanoto_100x100.jpg,,diversified,,//specials-images.forbesimg.com/imageserve/a96a99f9ad71a1c36b18128c2ee29d72/416x416.jpg?background=000000&cropX1=92&cropX2=720&cropY1=135&cropY2=763,,Indonesia,68,,,,1376,1500.0,,1453,,,
M,0.0,Alain Taravella,1531878901818,Real Estate,Taravella,alain-taravella,http://i.forbesimg.com/media/lists/people/alain-taravella_100x100.jpg,2084.299,real estate,1171,//specials-images.forbesimg.com/imageserve/56c7be16e4b062f6b59a23d1/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744,1171,France,70,,,,1376,1500.0,,1454,,,
M,0.0,Jim Thompson,1531878901818,Logistics,Thompson,jim-thompson,http://i.forbesimg.com/media/lists/people/jim-thompson_100x100.jpg,1406.148,logistics,1654,//specials-images.forbesimg.com/imageserve/56d1b782e4b0c144a7f6639a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=21&cropY2=765,1654,United States,78,,,,1376,1500.0,,1455,,,
M,8.817,Wichai Thongtang,1531878901818,Real Estate,Thongtang,wichai-thongtang,http://i.forbesimg.com/media/lists/people/wichai-thongtang_100x100.jpg,1838.06,investments,1309,//specials-images.forbesimg.com/imageserve/5ad8e2944bbe6f2310f30d01/416x416.jpg?background=000000&cropX1=882&cropX2=3223&cropY1=618&cropY2=2961,1309,Thailand,71,,,,1376,1500.0,,1456,,,
M,-2.391,Tung Chee Hwa,1531878901818,Logistics,Tung,tung-chee-hwa,http://i.forbesimg.com/media/lists/people/tung-chee-hwa_100x100.jpg,2322.128,shipping,1046,,1046,Hong Kong,81,,,,1376,1500.0,,1457,,,
M,8.026,Manuel Villar,1531878901818,Real Estate,Villar,manuel-villar,http://i.forbesimg.com/media/lists/people/manuel-villar_100x100.jpg,3652.656,real estate,625,//specials-images.forbesimg.com/imageserve/5a7c68364bbe6f2652f4fc92/416x416.jpg?background=000000&cropX1=426&cropX2=2349&cropY1=215&cropY2=2139,625,Philippines,68,,,,1376,1500.0,,1458,,,
